capture_cost,penalty_services,penalty_biomass,Name
40,100,30,Varo
40,100,29,Varo
40,100,21,Varo
40,100,25,Varo
40,100,20,Varo
40,100,30,Varo
40,100,26,Varo
40,100,29,Varo
40,100,23,Varo
40,100,21,Varo
40,100,27,Varo
40,100,26,Varo
40,100,23,Varo
40,100,30,Varo
40,100,27,Varo
40,100,21,Varo
40,100,21,Varo
40,100,24,Varo
40,100,25,Varo
40,100,25,Varo
40,100,24,Varo
40,100,22,Varo
40,100,24,Varo
40,100,28,Varo
40,100,28,Varo
40,100,29,Varo
40,100,20,Varo
40,100,23,Varo
40,100,28,Varo
40,100,22,Varo
122,17,22,Varo
108,31,8,Varo
131,8,31,Varo
107,32,7,Varo
138,1,38,Varo
102,37,2,Varo
116,23,16,Varo
124,15,24,Varo
122,17,22,Varo
106,33,6,Varo
109,30,9,Varo
130,9,30,Varo
118,21,18,Varo
114,25,14,Varo
133,6,33,Varo
104,35,4,Varo
134,5,34,Varo
126,13,26,Varo
132,7,32,Varo
121,18,21,Varo
115,24,15,Varo
139,0,39,Varo
118,21,18,Varo
113,26,13,Varo
111,28,11,Varo
103,36,3,Varo
127,12,27,Varo
136,3,36,Varo
128,11,28,Varo
101,38,1,Varo
122,17,22,Varo
108,31,8,Varo
131,8,31,Varo
107,32,7,Varo
138,1,38,Varo
102,37,2,Varo
116,23,16,Varo
124,15,24,Varo
122,17,22,Varo
106,33,6,Varo
109,30,9,Varo
130,9,30,Varo
118,21,18,Varo
114,25,14,Varo
133,6,33,Varo
104,35,4,Varo
134,5,34,Varo
126,13,26,Varo
132,7,32,Varo
121,18,21,Varo
115,24,15,Varo
139,0,39,Varo
118,21,18,Varo
113,26,13,Varo
111,28,11,Varo
103,36,3,Varo
127,12,27,Varo
136,3,36,Varo
128,11,28,Varo
101,38,1,Varo
40,100,30,Varo
40,100,29,Varo
40,100,21,Varo
40,100,25,Varo
40,100,20,Varo
40,100,30,Varo
40,100,26,Varo
40,100,29,Varo
40,100,23,Varo
40,100,21,Varo
40,100,27,Varo
40,100,26,Varo
40,100,23,Varo
40,100,30,Varo
40,100,27,Varo
40,100,21,Varo
40,100,21,Varo
40,100,24,Varo
40,100,25,Varo
40,100,25,Varo
40,100,24,Varo
40,100,22,Varo
40,100,24,Varo
40,100,28,Varo
40,100,28,Varo
40,100,29,Varo
40,100,20,Varo
40,100,23,Varo
40,100,28,Varo
40,100,22,Varo
