CO2;Flow;Rcapture;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
13;400;94;0,939157179;260390,669;121,11612;397,473047;9056,89604;5326,47699;4964,38966;4477,85124;5475,6603;4386,45722;247,936444;0,133256266;35;15,3913972;-1170,52072;334,1433971;303,15;-149269,753;423,15;294,15;-48474,537;365,068515;303,15;-44717,5703;321,8590827;313,15;-5268,07756;367,4492544;293,15;-7390,48067;105,4410946;293,15;-26164,3514;293,15;283,15;-95954,5453;337,792244;303,15;-85134,7287;333,9477646;313,15;-16270,0051;459,2314826;423,15;-25306,755;2,566056929;-31332,9033;376,9693477;303,6846362;-3342,86107;354,9594962;293,15;-5750,10202;358,8291036;293,15
13;400;90;0,894941668;239035,909;121,154361;381,848216;9056,89604;5075,71987;4730,67602;4267,02919;5217,66078;4179,77824;236,48235;0,134444867;35;15,0916922;-1223,12402;335,5521968;303,15;-149269,753;423,15;294,15;-42802,6664;363,7402159;303,15;-35633,5518;320,7849489;313,15;-5020,07381;367,4491115;293,15;-7042,58119;105,4409387;293,15;-26164,3514;293,15;283,15;-95954,5453;337,792244;303,15;-96102,5644;335,3553482;313,15;-16270,0051;459,2314826;423,15;-24114,3635;2,566056928;-29856,5746;376,9693477;303,6846362;-3185,35376;354,9594962;293,15;-5479,46503;358,8220531;293,15
13;400;86;0,853010371;224475,075;121,172451;372,132689;9056,89604;4837,81251;4508,94056;4067,03212;4973,00919;3983,79206;225,469702;0,12447051;35;14,8265954;-1224,63925;335,6221816;303,15;-149269,753;423,15;294,15;-39587,3112;363,2082635;303,15;-30793,8952;320,2018203;313,15;-4784,77492;367,4490588;293,15;-6712,49448;105,440883;293,15;-26164,3514;293,15;283,15;-95954,5453;337,792244;303,15;-97433,9091;335,430853;313,15;-16270,0051;459,2314826;423,15;-22983,6619;2,566056928;-28456,6257;376,9693477;303,6846362;-3035,99528;354,9594962;293,15;-5218,85228;358,7713356;293,15
13;400;82;0,821739706;214569,346;121,183355;365,730595;9056,89604;4660,3911;4343,57977;3917,88144;4790,59051;3837,6596;217,233097;0,116324392;35;14,6448858;-1218,88084;335,4912028;303,15;-149269,753;423,15;294,15;-37538,7994;362,9275405;303,15;-27805,9375;319,8235516;313,15;-4609,29865;367,4490342;293,15;-6466,32612;105,440857;293,15;-26164,3514;293,15;283,15;-95954,5453;337,792244;303,15;-97022,0366;335,3045122;313,15;-16270,0051;459,2314826;423,15;-22140,581;2,566056931;-27412,7869;376,9693477;303,6846362;-2924,62966;354,9594962;293,15;-5026,1347;358,7526451;293,15
13;400;78;0,788407478;204542,604;121,193662;359,374739;9056,89604;4471,27822;4167,32236;3758,88706;4596,18201;3681,92229;208,441056;0,107629932;35;14,463254;-1208,98852;335,2508889;303,15;-149269,753;423,15;294,15;-35558,0329;362,6990049;303,15;-24966,7298;319,4445687;313,15;-4422,26039;367,44902;293,15;-6203,93145;105,4408407;293,15;-26164,3514;293,15;283,15;-95954,5453;337,792244;303,15;-95810,1133;335,0692695;313,15;-16270,0051;459,2314826;423,15;-21242,0869;2,566056929;-26300,3397;376,9693477;303,6846362;-2805,94432;354,9594962;293,15;-4826,96577;358,8176337;293,15
13;300;94;0,940777903;201958,099;121,093242;303,917091;6792,67203;4001,71327;3729,68366;3364,14875;4113,94982;3295,61439;186,120164;0,092946117;28;13,3610451;-1120,90885;332,624123;303,15;-111952,315;423,15;294,15;-38927,2281;366,2076309;303,15;-37718,489;322,5373823;313,15;-3957,83721;367,449385;293,15;-5552,35042;105,4412342;293,15;-19623,0685;293,15;283,15;-71965,1871;337,792244;303,15;-56234,1442;332,417665;313,15;-12202,5039;459,2314826;423,15;-19013,3636;2,566056931;-23540,9037;376,9693477;303,6846362;-2511,54417;354,9594962;293,15;-4319,92837;358,835165;293,15
13;300;90;0,893438081;183454,866;121,141037;290,018438;6792,67203;3800,44227;3542,0923;3194,93762;3906,82282;3129,68851;176,96064;0,1005816;28;13,1439982;-1212,71474;335,0094286;303,15;-111952,315;423,15;294,15;-33814,5875;364,6783633;303,15;-29053,9634;321,2043307;313,15;-3758,77606;367,4492056;293,15;-5273,11306;105,4410398;293,15;-19623,0685;293,15;283,15;-71965,1871;337,792244;303,15;-68964,7202;334,7995718;313,15;-12202,5039;459,2314826;423,15;-18056,0886;2,566056921;-22355,6785;376,9693477;303,6846362;-2385,09426;354,9594962;293,15;-4102,70663;358,8265052;293,15
13;300;86;0,858095192;173848,798;121,157664;283,494571;6792,67203;3650,0634;3401,9354;3068,51647;3752,18075;3005,80741;170,010711;0,095623353;28;12,9629011;-1220,38032;335,2301822;303,15;-111952,315;423,15;294,15;-31616,2453;364,2103717;303,15;-25683,4383;320,6884611;313,15;-3610,04662;367,4491572;293,15;-5064,46893;105,4409872;293,15;-19623,0685;293,15;283,15;-71965,1871;337,792244;303,15;-70670,6828;335,0235264;313,15;-12202,5039;459,2314826;423,15;-17341,3823;2,566056922;-21470,7834;376,9693477;303,6846362;-2290,68611;354,9594962;293,15;-3940,3803;358,8241418;293,15
13;300;82;0,821289909;164838,966;121,171228;277,5932147;6792,67203;3493,45452;3255,97223;2936,86256;3591,17133;2876,82554;162,748145;0,089212057;28;12,7843807;-1217,48498;335,1779397;303,15;-111952,315;423,15;294,15;-29713,323;363,8906673;303,15;-22842,6351;320,2364182;313,15;-3455,15467;367,4491253;293,15;-4847,17844;105,4409548;293,15;-19623,0685;293,15;283,15;-71965,1871;337,792244;303,15;-70878,9466;334,9752544;313,15;-12202,5039;459,2314826;423,15;-16597,2481;2,566056916;-20549,453;376,9693477;303,6846362;-2192,39072;354,9594962;293,15;-3769,19959;358,7849037;293,15
13;300;78;0,779545314;155343,123;121,184119;271,5372044;6792,67203;3315,83115;3090,42337;2787,54033;3408,55077;2730,53135;154,49174;0,081567197;28;12,5939919;-1206,96356;334,9294213;303,15;-111952,315;423,15;294,15;-27825,0677;363,6530385;303,15;-20092,4;319,7740414;313,15;-3279,47875;367,449106;293,15;-4600,72811;105,4409335;293,15;-19623,0685;293,15;283,15;-71965,1871;337,792244;303,15;-70045,561;334,7314877;313,15;-12202,5039;459,2314826;423,15;-15753,2342;2,566056927;-19504,4589;376,9693477;303,6846362;-2080,90185;354,9594962;293,15;-3579,55405;358,82125;293,15
13;200;94;0,935412606;135333,219;121,088715;203,4047282;4528,44802;2652,60477;2472,28567;2229,9849;2727,03701;2184,58241;123,339714;0,061244231;24;10,9022;-1114,03229;332,2492871;303,15;-74634,8767;423,15;294,15;-26415,14;366,6032317;303,15;-25837,6152;322,7160931;313,15;-2623,52033;367,4494276;293,15;-3680,46629;105,4412811;293,15;-13082,1494;293,15;283,15;-47977,1755;337,792244;303,15;-36177,5804;331,989618;313,15;-8135,00257;459,2314826;423,15;-12603,495;2,56605692;-15604,691;376,9693477;303,6846362;-1664,84138;354,9594962;293,15;-2863,53055;358,837232;293,15
13;200;90;0,894374836;124801,259;121,129368;195,4735196;4528,44802;2536,30032;2363,88605;2132,20623;2607,35364;2088,70612;118,042632;0,066451486;24;10,7735366;-1201,16949;334,4669581;303,15;-74634,8767;423,15;294,15;-23506,4616;365,382944;303,15;-20769,4539;321,5682994;313,15;-2508,4928;367,4492789;293,15;-3519,10833;105,44112;293,15;-13082,1494;293,15;283,15;-47977,1755;337,792244;303,15;-43815,2548;334,207904;313,15;-8135,00257;459,2314826;423,15;-12050,3567;2,566056932;-14919,837;376,9693477;303,6846362;-1591,77533;354,9594962;293,15;-2738,00981;358,8301375;293,15
